,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
524,2019,12,45,5672.0,Philadelphia
525,2019,12,46,4956.0,Philadelphia
526,2019,12,47,15695.0,Philadelphia
527,2019,12,48,6764.0,Philadelphia
528,2019,12,49,2699.0,Philadelphia
529,2019,12,50,1803.0,Philadelphia
530,2019,12,52,12952.0,Philadelphia
531,2019,12,53,2579.0,Philadelphia
532,2019,12,54,5927.0,Philadelphia
533,2019,12,55,4245.0,Philadelphia
534,2019,12,56,10167.0,Philadelphia
535,2019,12,57,9046.0,Philadelphia
536,2019,12,58,7373.0,Philadelphia
537,2019,12,59,4272.0,Philadelphia
538,2019,12,60,9231.0,Philadelphia
539,2019,12,61,3989.0,Philadelphia
540,2019,12,62,203.0,Philadelphia
541,2019,12,64,5321.0,Philadelphia
542,2019,12,65,6953.0,Philadelphia
543,2019,12,66,9647.0,Philadelphia
544,2019,12,67,4406.0,Philadelphia
545,2019,12,68,2080.0,Philadelphia
546,2019,12,70,7322.0,Philadelphia
547,2019,12,73,2196.0,Philadelphia
548,2019,12,75,3363.0,Philadelphia
549,2019,12,77,706.0,Philadelphia
550,2019,12,78,62.0,Philadelphia
551,2019,12,79,4913.0,Philadelphia
552,2019,12,80,168.0,Philadelphia
553,2019,12,84,3076.0,Philadelphia
554,2019,12,88,2039.0,Philadelphia
555,2019,12,89,1562.0,Philadelphia
556,2019,12,90,399.0,Philadelphia
557,2019,12,92,265.0,Philadelphia
558,2019,12,93,1205.0,Philadelphia
559,2019,12,94,421.0,Philadelphia
560,2019,12,95,514.0,Philadelphia
561,2019,12,96,1238.0,Philadelphia
562,2019,12,97,598.0,Philadelphia
563,2019,12,98,986.0,Philadelphia
564,2019,12,99,1253.0,Philadelphia
565,2019,12,D1,4180.0,Philadelphia
566,2019,12,D2,4235.0,Philadelphia
567,2019,12,103,1151.0,Philadelphia
568,2019,12,104,2927.0,Philadelphia
569,2019,12,105,1085.0,Philadelphia
570,2019,12,106,1126.0,Philadelphia
571,2019,12,107,980.0,Philadelphia
572,2019,12,108,4934.0,Philadelphia
573,2019,12,109,4310.0,Philadelphia
574,2019,12,110,2046.0,Philadelphia
575,2019,12,111,1437.0,Philadelphia
576,2019,12,112,939.0,Philadelphia
577,2019,12,113,6436.0,Philadelphia
578,2019,12,114,1824.0,Philadelphia
579,2019,12,115,1045.0,Philadelphia
580,2019,12,117,1874.0,Philadelphia
581,2019,12,118,387.0,Philadelphia
582,2019,12,119,694.0,Philadelphia
583,2019,12,120,369.0,Philadelphia
584,2019,12,123,1028.0,Philadelphia
585,2019,12,124,1823.0,Philadelphia
586,2019,12,125,2132.0,Philadelphia
587,2019,12,126,567.0,Philadelphia
588,2019,12,127,294.0,Philadelphia
589,2019,12,128,361.0,Philadelphia
590,2019,12,129,852.0,Philadelphia
591,2019,12,130,505.0,Philadelphia
592,2019,12,131,702.0,Philadelphia
593,2019,12,132,329.0,Philadelphia
594,2019,12,133,61.0,Philadelphia
595,2019,12,139,373.0,Philadelphia
596,2019,12,150,30.0,Philadelphia
597,2019,12,201,143.0,Philadelphia
598,2019,12,204,184.0,Philadelphia
599,2019,12,206,134.0,Philadelphia
600,2019,12,310,386.0,Philadelphia
601,2019,12,311,215.0,Philadelphia
602,2019,12,47M,902.0,Philadelphia
603,2019,12,BLVDDIR,2794.0,Philadelphia
604,2019,12,B1 OWL,1733.0,Philadelphia
605,2019,12,63,15629.0,Philadelphia
606,2019,12,71,4366.0,Philadelphia
607,2019,12,41,2489.0,Philadelphia
608,2019,12,K,7738.0,Philadelphia
609,2019,12,51,6257.0,Philadelphia
610,2019,12,LUCYGO,1533.0,Philadelphia
611,2019,12,LUCYGR,965.0,Philadelphia
612,2019,12,L1 OWL,1754.0,Philadelphia
613,2019,12,82,8779.0,Philadelphia
614,2019,12,81,5050.0,Philadelphia
615,2020,1,1,2668.0,Philadelphia
616,2020,1,2,5746.0,Philadelphia
617,2020,1,3,8426.0,Philadelphia
618,2020,1,4,7208.0,Philadelphia
619,2020,1,5,3671.0,Philadelphia
620,2020,1,6,5886.0,Philadelphia
621,2020,1,7,5324.0,Philadelphia
622,2020,1,8,3047.0,Philadelphia
623,2020,1,9,4642.0,Philadelphia
624,2020,1,T1,10422.0,Philadelphia
625,2020,1,T4,12669.0,Philadelphia
626,2020,1,12,2626.0,Philadelphia
627,2020,1,T3,12094.0,Philadelphia
628,2020,1,14,5937.0,Philadelphia
629,2020,1,G1,10194.0,Philadelphia
630,2020,1,16,7136.0,Philadelphia
631,2020,1,17,9620.0,Philadelphia
632,2020,1,18,14601.0,Philadelphia
633,2020,1,19,1392.0,Philadelphia
634,2020,1,20,5109.0,Philadelphia
635,2020,1,21,9556.0,Philadelphia
636,2020,1,22,4306.0,Philadelphia
637,2020,1,23,17099.0,Philadelphia
638,2020,1,24,2335.0,Philadelphia
639,2020,1,25,4487.0,Philadelphia
640,2020,1,26,11646.0,Philadelphia
641,2020,1,27,4149.0,Philadelphia
642,2020,1,28,1985.0,Philadelphia
643,2020,1,29,4194.0,Philadelphia
644,2020,1,30,1403.0,Philadelphia
645,2020,1,31,4837.0,Philadelphia
646,2020,1,32,5101.0,Philadelphia
647,2020,1,33,11345.0,Philadelphia
648,2020,1,T2,12048.0,Philadelphia
649,2020,1,35,131.0,Philadelphia
650,2020,1,T5,13871.0,Philadelphia
651,2020,1,37,3408.0,Philadelphia
652,2020,1,38,2734.0,Philadelphia
653,2020,1,39,2536.0,Philadelphia
654,2020,1,40,7448.0,Philadelphia
655,2020,1,42,9281.0,Philadelphia
